CM1,CM2,CM3,DTA1,DTA2,DTA3,DTA4,KP1,KP2,KP3,KP4,KP5,KPT1,KPT2,NB1,NB2,NB3,NB4
2,2,2,4,4,3,3,4,4,4,4,4,1,2,3,3,3,3
1,3,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4
3,3,3,3,3,3,3,4,3,3,3,3,2,2,3,3,3,3
3,3,4,2,3,3,4,3,3,3,3,3,1,3,3,2,3,2
4,4,4,4,4,4,4,4,4,3,4,3,2,2,4,4,4,4
2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
4,4,4,4,4,4,3,4,4,4,4,4,2,2,3,3,3,4
4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4
4,3,3,4,3,4,4,4,3,4,3,3,4,3,4,3,4,4
4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4
3,3,3,4,4,3,3,3,3,3,3,3,1,2,3,3,3,3
4,3,3,4,2,3,3,4,4,4,4,4,2,3,3,2,2,3
2,2,3,3,4,4,4,4,3,3,3,3,2,1,3,3,4,4
1,3,3,3,4,3,2,2,2,3,3,3,2,3,3,3,2,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,3,3,3,4,4,4,4,4,4,4,3,4,3,3,3,3
2,2,2,3,4,4,3,3,3,3,3,3,3,2,2,2,2,2
3,3,2,3,2,2,2,3,2,3,3,3,3,3,2,2,2,2
4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,2,3,3,3,3,3,3,3,2,1,3,3,3,3
2,2,3,3,2,3,2,4,3,3,3,3,2,2,3,3,3,3
2,2,3,4,4,4,4,4,4,4,4,3,4,2,4,4,4,4
3,3,2,3,3,3,3,4,3,3,3,3,3,2,3,3,3,4
3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
4,3,4,4,3,4,4,4,4,3,3,3,3,2,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,2,1,4,4,4,4
2,2,3,4,4,4,4,4,4,4,4,4,2,2,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4
3,3,4,4,4,4,4,4,4,4,4,4,2,1,4,4,4,4
4,4,4,3,4,3,3,4,4,4,4,4,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4
3,3,4,4,4,4,4,4,4,4,4,4,1,3,3,3,3,3
4,4,3,4,2,4,3,3,4,3,4,3,1,2,4,4,4,4
3,3,3,3,2,3,4,4,3,3,4,4,3,3,3,3,3,3
2,2,3,4,3,3,3,4,4,4,4,4,2,2,2,2,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,3,3,3,3,3,2,3,3,2,3,2,1,4,4,3,4
3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3
3,3,2,4,4,4,4,4,2,2,3,2,1,1,3,3,3,4
4,4,4,3,3,3,3,4,3,3,4,3,2,2,3,3,3,3
2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
3,3,4,4,4,4,3,4,4,4,4,3,4,2,3,3,3,3
2,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,3,4,4,4,4,3,4,3,3,1,4,4,4,4
4,4,4,4,4,4,4,4,4,4,3,3,4,2,4,4,4,4
3,2,2,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3
4,4,4,3,3,3,3,3,3,3,4,3,4,4,2,2,2,3
2,2,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3
4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,3,1,4,4,4,4
3,3,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4
2,3,3,3,3,3,3,4,4,4,4,4,2,2,3,3,3,3
3,3,4,4,4,4,4,4,3,3,4,3,1,1,3,3,3,4
4,4,4,4,4,4,4,4,3,3,3,3,3,2,4,4,4,4
3,2,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,3,4,3,3,2,1,4,4,4,4
3,3,4,4,4,4,4,4,4,4,4,4,1,1,3,4,4,4
3,4,3,3,4,4,4,4,3,4,4,3,3,4,4,3,3,4
3,3,3,3,3,3,3,3,3,3,4,3,2,2,3,3,3,3
3,3,3,4,4,4,4,4,4,3,4,3,2,1,4,4,4,4
3,4,4,4,4,4,4,4,4,4,4,3,3,2,3,4,4,4
3,3,3,3,2,3,2,3,3,3,3,3,3,2,2,2,2,3
4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4
3,4,2,3,3,3,3,4,4,3,3,3,4,4,2,2,2,2
4,4,4,4,3,4,4,3,4,3,3,3,1,2,3,3,3,3
3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3
2,3,2,4,1,3,2,4,4,4,4,4,3,3,3,3,2,3
4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4
3,2,2,3,3,3,3,3,3,3,4,3,2,1,3,4,4,4
4,4,4,4,3,4,3,4,4,4,4,3,1,1,4,4,4,4
2,2,2,2,3,3,4,4,4,4,4,1,1,1,4,4,4,4
